assembly-v2,box-construction-v2,component-fitting-v2,object-assembly-v2,part-joining-v2,piece-integration-v2,structure-building-v2,unit-combination-v2,component-assembly-v2,object-construction-v2
basketball-v2,court-game-v2,hoop-shooting-v2,net-scoring-v2,slam-dunk-v2,sports-ball-v2,court-competition-v2,court-play-v2,athletic-game-v2,team-sport-v2
bin-picking-v2,container-grabbing-v2,object-retrieval-v2,item-extraction-v2,stock-handling-v2,inventory-management-v2,warehouse-logistics-v2,supply-chain-operations-v2,material-handling-v2,industrial-automation-v2
box-close-v2,container-sealing-v2,package-closure-v2,crate-securing-v2,carton-fastening-v2,parcel-enclosing-v2,shipment-preparation-v2,delivery-readiness-v2,logistics-finalizing-v2,transportation-packaging-v2
button-press-topdown-v2,switch-activation-overhead-v2,control-input-aerial-v2,interface-engagement-elevated-v2,mechanism-triggering-top-view-v2,device-operation-high-angle-v2,console-interaction-vertical-v2,panel-actuation-elevated-perspective-v2,equipment-engagement-overhead-angle-v2,machinery-control-top-down-view-v2
button-press-topdown-wall-v2,switch-activation-overhead-barrier-v2,control-input-aerial-obstacle-v2,interface-engagement-elevated-boundary-v2,mechanism-triggering-top-view-obstruction-v2,device-operation-high-angle-partition-v2,console-interaction-vertical-partition-v2,panel-actuation-elevated-perspective-divider-v2,equipment-engagement-overhead-angle-barrier-v2,machinery-control-top-down-view-wall-v2
button-press-v2,switch-activation-v2,control-input-v2,interface-engagement-v2,mechanism-triggering-v2,device-operation-v2,console-interaction-v2,panel-actuation-v2,equipment-engagement-v2,machinery-control-v2
button-press-wall-v2,switch-activation-barrier-v2,control-input-obstacle-v2,interface-engagement-boundary-v2,mechanism-triggering-obstruction-v2,device-operation-partition-v2,console-interaction-divider-v2,panel-actuation-partition-v2,equipment-engagement-barrier-v2,machinery-control-wall-v2
coffee-button-v2,beverage-dispense-v2,drink-vending-v2,java-preparation-v2,caffeine-delivery-v2,liquid-dispensing-v2,hot-drink-procurement-v2,caffeinated-beverage-v2,barista-automation-v2,espresso-machine-v2
coffee-pull-v2,beverage-retrieval-v2,drink-collection-v2,java-acquisition-v2,caffeine-procurement-v2,liquid-gathering-v2,hot-drink-obtainment-v2,caffeinated-beverage-extraction-v2,barista-assistance-v2,espresso-handling-v2
coffee-push-v2,beverage-placement-v2,drink-positioning-v2,java-delivery-v2,caffeine-distribution-v2,liquid-arranging-v2,hot-drink-organization-v2,caffeinated-beverage-arrangement-v2,barista-facilitation-v2,espresso-positioning-v2
dial-turn-v2,knob-rotation-v2,control-adjustment-v2,setting-modification-v2,parameter-calibration-v2,level-regulation-v2,value-alteration-v2,input-variation-v2,configuration-fine-tuning-v2,preference-customization-v2
disassemble-v2,take-apart-v2,dismount-v2,deconstruct-v2,break-down-v2,demount-v2,unbuild-v2,disjoin-v2,disunite-v2,separate-v2,divide-v2,disconnect-v2,disengage-v2,dissociate-v2,detach-v2,part-v2,uncouple-v2,disjoint-v2,unfasten-v2,loosen-v2
door-close-v2,door-shut-v2,door-secure-v2,door-seal-v2,door-lock-up-v2,door-bar-v2,door-fasten-v2,door-latch-v2,door-bolt-v2,door-slam-v2,door-gate-v2,door-barrier-v2,door-obstruct-v2,door-impede-v2,door-block-v2,door-hinder-v2,door-stop-v2,door-restrict-v2,door-confine-v2,door-enclose-v2
door-lock-v2,door-secure-v2,door-fasten-v2,door-latch-v2,door-bolt-v2,door-bar-v2,door-seal-v2,door-close-v2,door-shut-v2,door-gate-v2,door-barrier-v2,door-obstruct-v2,door-impede-v2,door-block-v2,door-hinder-v2,door-stop-v2,door-restrict-v2,door-confine-v2,door-enclose-v2,door-lock-up-v2
door-open-v2,door-unlock-v2,door-unfasten-v2,door-unlatch-v2,door-unbolt-v2,door-unbar-v2,door-unseal-v2,door-unclose-v2,door-unshut-v2,door-ungate-v2,door-unbarrier-v2,door-unobstruct-v2,door-unimpede-v2,door-unblock-v2,door-unhinder-v2,door-unstop-v2,door-unrestrict-v2,door-unconfine-v2,door-unenclose-v2,door-unlock-up-v2
door-unlock-v2,door-unsecure-v2,door-unfasten-v2,door-unlatch-v2,door-unbolt-v2,door-unbar-v2,door-unseal-v2,door-open-v2,door-unclose-v2,door-ungate-v2,door-unbarrier-v2,door-unobstruct-v2,door-unimpede-v2,door-unblock-v2,door-unhinder-v2,door-unstop-v2,door-unrestrict-v2,door-unconfine-v2,door-unenclose-v2,door-unlock-up-v2
hand-insert-v2,hand-put-v2,hand-place-v2,hand-position-v2,hand-situate-v2,hand-locate-v2,hand-install-v2,hand-implant-v2,hand-embed-v2,hand-inset-v2,hand-imbed-v2,hand-ingress-v2,hand-introgress-v2,hand-introduce-v2,hand-induct-v2,hand-immit-v2,hand-importune-v2,hand-impose-v2,hand-infiltrate-v2,hand-insinuate-v2
drawer-close-v2,drawer-shut-v2,drawer-secure-v2,drawer-seal-v2,drawer-lock-up-v2,drawer-bar-v2,drawer-fasten-v2,drawer-latch-v2,drawer-bolt-v2,drawer-slam-v2,drawer-gate-v2,drawer-barrier-v2,drawer-obstruct-v2,drawer-impede-v2,drawer-block-v2,drawer-hinder-v2,drawer-stop-v2,drawer-restrict-v2,drawer-confine-v2,drawer-enclose-v2
drawer-open-v2,drawer-unlock-v2,drawer-unfasten-v2,drawer-unlatch-v2,drawer-unbolt-v2,drawer-unbar-v2,drawer-unseal-v2,drawer-unclose-v2,drawer-unshut-v2,drawer-ungate-v2,drawer-unbarrier-v2,drawer-unobstruct-v2,drawer-unimpede-v2,drawer-unblock-v2,drawer-unhinder-v2,drawer-unstop-v2,drawer-unrestrict-v2,drawer-unconfine-v2,drawer-unenclose-v2,drawer-unlock-up-v2
faucet-open-v2,faucet-unlock-v2,faucet-unfasten-v2,faucet-unlatch-v2,faucet-unbolt-v2,faucet-unbar-v2,faucet-unseal-v2,faucet-unclose-v2,faucet-unshut-v2,faucet-ungate-v2,faucet-unbarrier-v2,faucet-unobstruct-v2,faucet-unimpede-v2,faucet-unblock-v2,faucet-unhinder-v2,faucet-unstop-v2,faucet-unrestrict-v2,faucet-unconfine-v2,faucet-unenclose-v2,faucet-unlock-up-v2
faucet-close-v2,faucet-shut-v2,faucet-secure-v2,faucet-seal-v2,faucet-lock-up-v2,faucet-bar-v2,faucet-fasten-v2,faucet-latch-v2,faucet-bolt-v2,faucet-slam-v2,faucet-gate-v2,faucet-barrier-v2,faucet-obstruct-v2,faucet-impede-v2,faucet-block-v2,faucet-hinder-v2,faucet-stop-v2,faucet-restrict-v2,faucet-confine-v2,faucet-enclose-v2
hammer-v2,mallet-v2,maul-v2,beetle-v2,sledgehammer-v2,gavel-v2,mall-v2,striker-v2,ram-v2,battering-ram-v2,rammer-v2,pounder-v2,tamper-v2,beater-v2,pestle-v2,muller-v2,demolisher-v2,smasher-v2,crusher-v2,bludgeon-v2
handle-press-side-v2,handle-compress-side-v2,handle-depress-side-v2,handle-squeeze-side-v2,handle-constrict-side-v2,handle-contract-side-v2,handle-compact-side-v2,handle-condense-side-v2,handle-squash-side-v2,handle-crush-side-v2,handle-flatten-side-v2,handle-press-flank-v2,handle-compress-flank-v2,handle-depress-flank-v2,handle-squeeze-flank-v2,handle-constrict-flank-v2,handle-contract-flank-v2,handle-compact-flank-v2,handle-condense-flank-v2,handle-squash-flank-v2
handle-press-v2,handle-compress-v2,handle-depress-v2,handle-squeeze-v2,handle-constrict-v2,handle-contract-v2,handle-compact-v2,handle-condense-v2,handle-squash-v2,handle-crush-v2,handle-flatten-v2,handle-press-down-v2,handle-compress-down-v2,handle-depress-down-v2,handle-squeeze-down-v2,handle-constrict-down-v2,handle-contract-down-v2,handle-compact-down-v2,handle-condense-down-v2,handle-squash-down-v2
